0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:48 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:48 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:49 +0900] "GET /TestWeb/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:49 +0900] "GET /TestWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:49 +0900] "GET /TestWeb/ HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:52 +0900] "GET /TestWeb/user/update.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:54 +0900] "GET /TestWeb/user/delete.jsp HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:54 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:54 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:54 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:41 +0900] "GET /MyWeb/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:41 +0900] "GET /MyWeb/user/goodbye.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/user/login.jsp HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/user/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/user/js/bootstrap.min.js HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/css/business-casual.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/user/js/bootstrap.min.js HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:46:55 +0900] "GET /MyWeb/img/bg.jpg HTTP/1.1" 200 152880
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:10 +0900] "GET /MyWeb/user/login.jsp HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:10 +0900] "GET /MyWeb/user/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:10 +0900] "GET /MyWeb/user/js/bootstrap.min.js HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:10 +0900] "GET /MyWeb/user/js/bootstrap.min.js HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:19 +0900] "GET /MyWeb/user/login.jsp HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:19 +0900] "GET /MyWeb/user/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:19 +0900] "GET /MyWeb/user/js/bootstrap.min.js HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:32 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:32 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:32 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:32 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:32 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:39 +0900] "POST /TestWeb/user/login_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:39 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:39 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:39 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:39 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:41 +0900] "GET /TestWeb/user/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:23:47:41 +0900] "GET /TestWeb HTTP/1.1" 302 -
